Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Approval),Outward issue link (Approval),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Activation Date),Custom field (Actual results),Custom field (Affected services),Custom field (Approvals),Custom field (Bug Template),Custom field (Category),Custom field (Content type),Custom field (Customers),Custom field (Development),Custom field (Due date),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected results),Custom field (Focus Areas),Custom field (Goals),Custom field (Handover Points),Custom field (Issue color),Custom field (Location),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Publication date),Custom field (Quality Level),Custom field (Rank),Custom field (Release End Date),Custom field (Release Risk),Custom field (Release Start Date),Custom field (Release State),Custom field (Release Status),Custom field (Release notes),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (SURE Jira link),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (StackState Team),Custom field (Start date),Custom field (Steps to reproduce),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target Fix Date),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Template),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (uuid),Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Create example stackpack 2.0 with OtelComponentMapping and ComponentPresentation,STAC-23932,49427,User Story,In Progress,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,Alejandro Acevedo Osorio,5ae88e681864357363fa4192,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,24/Nov/25 1:55 PM,13/Jan/26 11:34 AM,,,,,0,,,"The man goal here is to gather integration usescases to validate the OTEL mapping and componentpresentation definitions to be used by other teams.

Look at current extensions (for overview pages):

* Complete Otel Stackpack current example

* Java (Xmx
* .NET (dunno)
* SUSE ai
* Aegir tenants

Look at wanted extensions:

* Kubewarden (communicate with kubewarden teams)
* Harvester

Stretch:

* Virtual clusters
* Multi-linux manager (managing linux installs)
* CRs
* (check work from Ravan)

Acceptance criteria * )

* Come up with as many stackpacks we think make sense
* Write actual OTEL mappings for them (if needed)
* Write pseudo-config for the component presentation and how that interacts with the current presentation. Bring this into the stackpacks repo
* We should capture as best as possible what is needed in the pseudo code, without actually getting into any real design just yet
* We don’t need to be exhaustive with the entire stackpacks, but we should be exhaustive with the use-cases",,Bram Schuur,,,5a3a740aea5fc812d8afd681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@53e35763,,,,,{},,,,,,,,,,,,,,,,A,1|hzz6ge:zzi,,,,,,,,,,,,,,Stackpacks 2 - 1,,,,,,,,,,,8.0,,,,,,,,,,,,,,,49387,STAC-23912,ComponentPresentation for OTEL,In Progress,13/Jan/26 11:34 AM
Create an empty component presentation StackGraph and DTO/backup/restore object feature flagged with existing stackpacks2 flag,STAC-23913,49389,User Story,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Alejandro Acevedo Osorio,5ae88e681864357363fa4192,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,24/Nov/25 10:45 AM,12/Jan/26 10:32 AM,,12/Jan/26 10:32 AM,,,0,,,"This story kicks off the ComponentPresentation epic by introducing the datastructures and feature flags.

* Just introducing the DTO with identifiers
* Add openapi for CRUD 
* Use the same setup as with componentmapping for sharing DTO/openapi data.
* Add permissions for the ComponentPresentation (CRUD)",,Bram Schuur,,,5a3a740aea5fc812d8afd681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3c03e5fa,,,,,"{repository={count=5, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":5,""lastUpdated"":""2026-01-09T15:19:28.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":5,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|hzz6ge:r,,,,,,,,,,,,,,Stackpacks 2 - 1,,,,,,,,,,,5.0,,,,,,,,,,,10107_*:*_1_*:*_3905836024_*|*_3_*:*_1_*:*_87285212_*|*_10400_*:*_1_*:*_161313_*|*_10401_*:*_1_*:*_0,,,,49387,STAC-23912,ComponentPresentation for OTEL,Done,12/Jan/26 10:32 AM
Admin password generation without values chart,STAC-23881,49337,User Story,In Review,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,Remco Beckers,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,20/Nov/25 10:19 AM,12/Jan/26 11:07 AM,,,,,0,,,"Without a values chart to generate a bcrypt hash of a password things become a bit more complicated. We want to simplify the whole initial password setup.

*Acceptance criteria*

* Password is stored as-is (i.e. plain text) in a Kubernetes secret. NOTE: This requires a change in the platform configuration, it now only accepts md5 and brypt hashes. 
* Instead of providing a password during installation, the helm chart allows you to refer to an existing secret (usually created by a tool like External Secrets).
* The setup should remain backward compatible with the current hashed password:
** If no plain text password or password secret is specified, fall back to the bcrypt/md5 hash version that is in use now (all existing installations will have this, we don’t want to break those during upgrade)
* Discuss during refinement: Do we still want to auto-generate a password? *Discussed: We don’t want to autogenerate the password*
** Con: We need to do extra work to avoid regeneration on upgrade and this will not work for setups that use {{helm template}} (like argocd or fleet). 
** Con: For usage in a GitOps environment, like ArgoCD, Fleet etc, users will have to specify the password in the values.yaml / secrets.yaml anyway.
** Con & Pro: A user-provided password is extra work: A user would need to provide a password on installation (and upgrade). But the user will have an easier time remembering the password, although it may lead to too simple passwords.
* For a more secure setup, we recommend (in the docs) to use Rancher auth, OIDC, LDAP etc. instead of an admin password. 
* Check this invariant in the helm chart: An admin password must be provided when no custom auth method is configured. However when a custom auth method is configured it should be empty (it will not be used). Custom auth methods can be {{file}}, {{oidc}}, {{ldap}} etc (see the Helm chart for details)
* Update documentation

----

h2. Old description with discussion of the possible options

Rancher stores user passwords as a bcrypt hash in a custom user local resource. 

SUSE Observability stores user passwords as bcrypt hash in the config file. Rancher however uses a temporary bootstrap password, after which a real user password must be provided and is stored into the admin User ([users.management.cattle.io|http://users.management.cattle.io]). A similar approach would be user friendly but also a lot of work to build (requiring a UI for providing the new password).

The main problem is that providing the real password via Helm values will put it in plain text in the Helm release secret, making it less secure. Any other way to avoid this is also acceptable. Storing it in a secret that we automatically reload when it changes or does not exist is also fine.

Another way is to generate the secret only when the secret doesn’t exist yet (but this does come with a bunch of caveats and issues). See [https://stackoverflow.com/questions/56170052/how-not-to-overwrite-randomly-generated-secrets-in-helm-templates|https://stackoverflow.com/questions/56170052/how-not-to-overwrite-randomly-generated-secrets-in-helm-templates|smart-link] for a solution (the one by {{akop}}) that only won’t work when using {{helm template}} (most importantly for tools like argocd) and {{helm update --dry-run}} (it will think there is no secret unless specifying {{--dry-run=server}}). This can/should still be combined with the ability to provide the bcrypted password explicitly for a pre-defined password.

The solution we’re going for without this ticket is to have the user provide a bcrypt hash as a variable that we allow them to create using one of these (tbd):

# very simple helm chart that just generates the password hash (this is convenient because they already have helm, but annoying because they still need a second, tiny, chart)
# add a {{password}} command to our {{sts}} cli and include a download link in the docs for the CLI.
# Use an existing tool like {{bcrypt-tool}}: [https://github.com/shoenig/bcrypt-tool|https://github.com/shoenig/bcrypt-tool|smart-link] 

Note that we do have a bootstrap service token that is stored in plain text, but by default it expires after 24h.

An alternative option is to solely rely on the “security” of the Kubernetes secrets (the fact that only admins can access the secrets for SUSE Observability) and allow the password as plain text value in the values.yaml (we can still bcrypt it in the helm chart for usage in the config file). This is however considered bad-practice and a step backward from the current situation. It may also come back later as something that needs to be fixed.

*Summary*

TLDR; A secure way to provide the admin password for helm installs:

# Store plain text password in a k8s secret, this is common for many Kubernetes applications. We can generate it in the helm chart or a user can specify it in plain text. This avoids all issues we may run into.
# Require the user to run an extra command before installing (either a {{helm template}} command or another tool, can also be our cli). Most secure and easy to implement. But requires exta user-step for even the most basic setup (this would always be a recommended option for fully automated installation options to provide a known password)
# Introduce a UI to set the password (using an initial bootstrap password). This is what Rancher does, but a lot of work to implement
## Variation: provide only an API for this and the Helm install output can include a one-liner kubectl/curl command to call this api to generate/set a new, secure, password
# Generate the password in our helm chart and include it in the helm output to tell the user the generated password. This requires detecting whether the password was already generated before or not, so it must be moved to a secret that is used from within the application. And there are some limitations to this detection that will potentially break in ArgoCD and other CD tools. 

There should always be the option to provide a bcrypt hash directly, which would be the recommended approach for anything in CI/CD and gitops environments. For that case it would be very useful to have the bcrypt password generation command in the sts-CLI (and with that in the corresponding docker image).

So option 1 is always needed.",,Bram Schuur,Release StackState,Remco Beckers,5a3a740aea5fc812d8afd681,5f0c19c95ee2c3002363e486,557058:fc82be0d-ff60-45e9-bb3f-9492ad8305aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2d7ab793,,,,,"{pullrequest={dataType=pullrequest, state=OPEN, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-01-09T17:10:49.949+0100"",""stateCount"":1,""state"":""OPEN"",""dataType"":""pullrequest"",""open"":true},""byInstanceType"":{""GitLab"":{""count"":1,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vwj:i,,,,,,,,,,,,,,Wrapping up dashboarding,,,,,,,,Borg,,,5.0,,,,,,,,,,2025-11-27 12:49:35.673,,,"27/Nov/25 1:49 PM;5a3a740aea5fc812d8afd681;We opt for:

* Plain text
* Include external secret
* Backward compatible with bcrypt
* Avoid regeneration on upgrade (except argo probably)
* Maybe opt for user-provided instead of auto-generated",09/Jan/26 5:12 PM;5f0c19c95ee2c3002363e486;[Remco Beckers|https://gitlab.com/rembo] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9430] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [stac-23881|https://gitlab.com/stackvista/stackstate/-/tree/stac-23881]:{quote}STAC-23881 Support plain text password{quote},,,,In Progress,09/Jan/26 8:56 AM
Package and validate stackpack 2.0 stackpacks through the new CLI commands,STAC-23880,49336,User Story,In Progress,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,Deon Taljaard,712020:27cbf957-6036-4080-9f6b-fdb179fd6007,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,20/Nov/25 10:03 AM,13/Jan/26 10:11 AM,,,,,0,,,"We want to show the entire user flow for our first stackpacks 2.0 setup, including building with the CLI.

We also want to make sure we build all our stackpacks 2.0 with the CLI in our stackpacks repository

Acceptance cirteria*)

* Package and test the stackpack 2.0 stackpacks in the stackpacks repo through our CLI, also in gitlab CI
* Can we avoid/prohibit buildoing stackpacks 2.0 with the (java) sdk to fully standardize on the CLI?

Refinement*)

* Against which stackstate do we use the test command?
** -Write a story to include the test command in integration test.-
** -Do not run it against a current instance, we defer this to beest. The test command is more meant for manual flow-
** Rename test to 'test-deploy’. Yes
** Bram updates stories
** Deferred: make a story for validate command which validates the schema
** Rename cli test to 'test-deploy’
* Versioning of stackpacks in CI
** How are version increments effected by the cli?
*** Package command takes a version and writes it to yaml, this is all from the CLI side
** CI should:
*** Version should be generated by CI scripts
*** Make the verison bug-for-bug compatible with the current schema
*** Ideally we’d fully automate the semver in CI to avoid publishing snapshot versions ← out of scope
* What version of the CLI do we pull in into stackpacks repo?
** Latest version, download CLI every time, given it is our trunk.",,Bram Schuur,,,5a3a740aea5fc812d8afd681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1d0d0209,"*Actual behavior*:


*Expected behavior*:


*Steps to reproduce*:


*Technical note*:

",,,,"{pullrequest={dataType=pullrequest, state=OPEN, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2026-01-13T17:15:08.216+0100"",""stateCount"":1,""state"":""OPEN"",""dataType"":""pullrequest"",""open"":true},""byInstanceType"":{""GitLab"":{""count"":1,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|hzz6ge:v,,,,,,,,,,,,,,Stackpacks 2 - 1,,,,,,,,,,,5.0,,,,,,,,,,,,,,,46550,STAC-23383,First StackPack 2.0,In Progress,09/Jan/26 2:35 PM
Stackpacks 2.0 configs to revisit usage,STAC-23874,49262,User Story,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Frank van Lankvelt,5ffe1a6c9edf280075d1b224,Alejandro Acevedo Osorio,5ae88e681864357363fa4192,Alejandro Acevedo Osorio,5ae88e681864357363fa4192,18/Nov/25 4:13 PM,09/Jan/26 3:55 PM,,09/Jan/26 3:55 PM,,,0,,,"We want to simplify as much as possible the stackpacks 2.0 configuration to facilitate the development of stackpacks. the following config items need to be verified (what we need them for) and discussed if we need/want to keep them:

* {{faqs: []}} <=  noop 1.0
* {{releaseStatus}}: Is that really still a thing to use? Or should we at least simplify the enum (there are some pretty quirky values in the enum iirc) <= noop 1.0
* {{integrations}}: Does this make sense for stackpacks 2? Still nobody sees the difference in our UI (I have had to explain it to everyone who joined our team even). We only use it for 1 stackpack afaik anyway. Seems that we at least could hide it completely by making it optional (if it is not already optional), but maybe even better to remove it. <= stays in 1.0
* {{isMultiConfig}}: (not defined here but set in the otel 2 stackpack) I don't think we want to support multi-config for stackpacks 2. Unless we think we require it if/when we move the Kubernetes stackpack to the new setup.
*  Given that {{isMultiConfig}} is not required and we could simplify the stackpacks namespace strategy {{(shared)}} <= stays in 1.0",,Alejandro Acevedo Osorio,Frank van Lankvelt,Release StackState,5ae88e681864357363fa4192,5ffe1a6c9edf280075d1b224,5f0c19c95ee2c3002363e486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6d60550d,,,,,"{repository={count=17, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":17,""lastUpdated"":""2026-01-09T14:55:16.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":17,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|hzz6fs:,,,,,,,,,,,,,,Marvin - Spacks2 & AgentBump 2,Stackpacks 2 - 1,,,,,,,,,,5.0,,,,,,,,,,2025-12-17 15:12:27.532,10107_*:*_1_*:*_2505300582_*|*_3_*:*_1_*:*_1793465203_*|*_10400_*:*_1_*:*_0,,"17/Dec/25 4:12 PM;5ffe1a6c9edf280075d1b224;a couple of other dubious fields (i.e. it’s not obvious to me they are needed):

* upgradeInstructions
* needWaitingForManualStepsInInstall
* needWaitingForManualStepsInUpgrade
* minSupportedStackStateVersion
* maxSupportedStackStateVersion

While only used for the Kubernetes stackpack, the frontend does deal with multi-config and integrations.",07/Jan/26 5:31 PM;5f0c19c95ee2c3002363e486;[Frank van Lankvelt|https://gitlab.com/fvlankvelt] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9424] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-23874-bump-sdk|https://gitlab.com/stackvista/stackstate/-/tree/STAC-23874-bump-sdk]:{quote}STAC-23874: bump sdk version{quote},46550,STAC-23383,First StackPack 2.0,Done,09/Jan/26 3:55 PM
K8S 1.30 Compatibility tests,STAC-23801,48898,Sub-task,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,yash.tripathi,712020:be333e7e-12bf-42a6-8e72-90eef7cda584,yash.tripathi,712020:be333e7e-12bf-42a6-8e72-90eef7cda584,yash.tripathi,712020:be333e7e-12bf-42a6-8e72-90eef7cda584,10/Nov/25 1:31 PM,12/Jan/26 12:32 PM,,28/Nov/25 8:31 AM,,,0,,,"|2.11.x|v1.30.11+rke2r1| Verified| |
|2.12.x|v1.30.11+rke2r1|Verified| |
|2.13.x|v1.30.11+rke2r1|Verified| |

Environment details:

rke2 version : v1.30.11+rke2r1

SO : 2.6.2",,yash.tripathi,,,712020:be333e7e-12bf-42a6-8e72-90eef7cda584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@43553205,,,,,{},,,,,,,,,,,,,,,,A,1|i02ujr:,,,,,,,,,,,,,,Marvin - Spacks2 & Agent,Marvin - Spacks2 & AgentBump,Marvin - Spacks2 & AgentBump 2,Marvin - AgentBump 3,,,,,Marvin,,,,,,,,,,,,,,10107_*:*_1_*:*_599508343_*|*_3_*:*_1_*:*_0,,,,47471,STAC-23522,Kubernetes compatibility testing & documentation,Done,28/Nov/25 8:31 AM
Update documentation with compatibility matrix,STAC-23742,48764,Sub-task,In Review,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,yash.tripathi,712020:be333e7e-12bf-42a6-8e72-90eef7cda584,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,rajukumar.macha,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,05/Nov/25 8:45 AM,14/Jan/26 9:15 AM,,,,,0,,,"will do the compatibility test execution plan

Branch:

[https://github.com/rancher/suse-observability-functional-tests/tree/feature/k8s_compatibility_tests|https://github.com/rancher/suse-observability-functional-tests/tree/feature/k8s_compatibility_tests|smart-link] 

We discussed the following do changes:

* Restructure the current release notes section in into a Release document section with subdocuments:
** Release
*** Release Notes
*** Compatibility Matrix ←  put the compatibility matrix here
*** Release Strategy
* Link to the compatibility matrix from the rancher prime (on-prem) install instructions [https://deploy-preview-168--suse-obs.netlify.app/suse-observability/latest/en/k8s-suse-rancher-prime#_requirements|https://deploy-preview-168--suse-obs.netlify.app/suse-observability/latest/en/k8s-suse-rancher-prime#_requirements|smart-link] 
* Link to the compatibility matrix from the install docs [https://deploy-preview-168--suse-obs.netlify.app/suse-observability/latest/en/setup/install-stackstate/requirements#_kubernetes_and_openshift|https://deploy-preview-168--suse-obs.netlify.app/suse-observability/latest/en/setup/install-stackstate/requirements#_kubernetes_and_openshift|smart-link] 
* Linking from our cloud docs is out of scope

Docs repo usage:

* Make an MR against main branch because the matrix is populated.
* Akash needs to do a review on top of one of the team",,rajukumar.macha,,,712020:05b3e11c-41bc-4bbd-aaf2-6a1139bf2a60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2052f9e4,,,,,{},,,,,,,,,,,,,,,,A,1|i02u7j:,,,,,,,,,,,,,,Marvin - Spacks2 & Agent,Marvin - Spacks2 & AgentBump,Marvin - Spacks2 & AgentBump 2,Marvin - AgentBump 3,,,,,Marvin,,,,,,,,,,,,,,,,,,47471,STAC-23522,Kubernetes compatibility testing & documentation,In Progress,09/Jan/26 10:56 AM
Metrics are freezing UI,STAC-23733,48659,Bug,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,High,Done,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,04/Nov/25 9:00 AM,09/Jan/26 9:31 AM,,09/Jan/26 9:31 AM,,,0,frontend,,"Go to [nightly|https://nightly-champagne.preprod.stackstate.io/#/metrics?promql=count%28kubernetes_pods_running%29&timeRange=LAST_24_HOURS] and switch form 1h to 15 mins - observe the lag and UI freeze while switching. 

This only appears in Chrome, in Firefox it is only marginally noticeable.",,Anton Ovechkin,Release StackState,,61d2f4ebce3652006aaa23ca,5f0c19c95ee2c3002363e486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STAC-24134,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@75bbc9c1,"*Actual behavior*:


*Expected behavior*:


*Steps to reproduce*:


*Technical note*:

",,,,"{repository={count=100, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":100,""lastUpdated"":""2026-01-08T11:31:43.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":100,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02u22:zzzw,,,,,,Resolved an issue where the user interface would occasionally become unresponsive when viewing metric charts,,,,,,,,Prepare dashboards release,Dashboards release?,Wrapping up dashboarding,,,,,,Borg,,,5.0,,,,,,,,,,2026-01-05 11:03:26.803,10107_*:*_1_*:*_3021505642_*|*_3_*:*_1_*:*_2423618539_*|*_10400_*:*_1_*:*_179934374_*|*_10401_*:*_1_*:*_0,,05/Jan/26 12:03 PM;5f0c19c95ee2c3002363e486;[Anton Ovechkin|https://gitlab.com/suse.anton.ovechkin] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9418] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-23733-fix-freezing-metrics|https://gitlab.com/stackvista/stackstate/-/tree/STAC-23733-fix-freezing-metrics]:{quote}Draft: STAC-23733 Fix freezing metrics{quote},,,,,Done,09/Jan/26 9:31 AM
[Dashboards] Static list variable doesn't use display name,STAC-23684,48199,Bug,Closed,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,Medium,Cannot Reproduce,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,Samuel Jones,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,27/Oct/25 3:16 PM,07/Jan/26 2:30 PM,,07/Jan/26 2:30 PM,,,0,,,"!image-20251027-141548.png|width=420,alt=""image-20251027-141548.png""!

The display name is correctly used for a list item within the list (“My label is here”) but, the value is used in the dropdown trigger (“my value”).

The user should see the display label in both cases when it is set.",,Samuel Jones,,,712020:a950806e-86c0-42f7-b531-66e40f57b9ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/Oct/25 3:16 PM;2c7f65e7-1aed-45a4-98cc-76247f1519da;image-20251027-141548.png;https://stackstate.atlassian.net/rest/api/3/attachment/content/25714,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@71afc11,,,,,{},,,,,,,,,,,,,,,,A,1|i02vwk:i,,,,,,,,,,,,,,Wrapping up dashboarding,,,,,,,,Borg,,,1.0,,,,,,,,,,,10107_*:*_1_*:*_6213678912_*|*_3_*:*_1_*:*_4355895_*|*_10400_*:*_1_*:*_1867_*|*_10401_*:*_1_*:*_0,,,,38662,STAC-22375,Dashboards as 1st class citizen,Done,07/Jan/26 2:30 PM
Make plugin names in the collector consistent,STAC-23615,47901,User Story,Ready to Refine,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,,,Deon Taljaard,712020:27cbf957-6036-4080-9f6b-fdb179fd6007,Deon Taljaard,712020:27cbf957-6036-4080-9f6b-fdb179fd6007,20/Oct/25 9:52 AM,07/Jan/26 2:14 PM,,,,,0,,,"In the sts-opentelemetry-collector, we’ve recently added new plugins to support the declarative mapping of component and relations to topology. As part of this effort, new plugins were added, namely:

* {{sts_settings_provider}}
* {{sts_kafka_exporter}}
* {{tracetotopo}}

Along with this set of plugins, the {{stsservicegraphconnector}} is also being used (but since this one is already “publicly” available, there could be risk to renaming it). It would be great to have a uniform naming schema across these plugins and their identifying types used internally by the collector (and ultimately in the collector config).

Also, these newer plugins aren’t conforming with the metadata convention there seems to be in contrib plugins - it would be a good time to add/update a metadata.yaml and generate metadata sources.

Acceptance criteria:

* Uniform naming scheme for custom plugins: prefix {{sts}}, separate words with {{_}}
* Rename the newly added plugins to follow this scheme
* Update references to these plugin in collector config - the otel collector sub chart
* Metadata information is up to date and generated
** See if we can define the metadata in a consistent way that matches how the open-telemetry-contrib github repository does this.
* Include a release note for the renaming of {{stsservicegraphconnector}}, just in case any customer decided to customize its config",,Deon Taljaard,,,712020:27cbf957-6036-4080-9f6b-fdb179fd6007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2f05b2a5,,,,,{},,,,,,,,,,,,,,,,A,1|i02v59:,,,,,,,,,,,,,,,,,,,,,,Borg,,,3.0,,,,,,,,,,,,,,,43083,STAC-22861,Stackpacks 2.0 otel,To Do,20/Oct/25 9:52 AM
