Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Fix versions,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Approval),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Activation Date),Custom field (Actual results),Custom field (Affected services),Custom field (Approvals),Custom field (Bug Template),Custom field (Category),Custom field (Content type),Custom field (Customers),Custom field (Development),Custom field (Due date),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected results),Custom field (Focus Areas),Custom field (Goals),Custom field (Handover Points),Custom field (Issue color),Custom field (Location),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Publication date),Custom field (Quality Level),Custom field (Rank),Custom field (Release End Date),Custom field (Release Risk),Custom field (Release Start Date),Custom field (Release State),Custom field (Release Status),Custom field (Release notes),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (SURE Jira link),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (StackState Team),Custom field (Start date),Custom field (Steps to reproduce),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target Fix Date),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Template),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (uuid),Comment,Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Enable useSortedAttributes,STAC-24026,49683,Sub-task,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,02/Dec/25 2:10 PM,07/Jan/26 9:43 AM,,07/Jan/26 9:43 AM,,,,0,,,,,Anton Ovechkin,Release StackState,,,61d2f4ebce3652006aaa23ca,5f0c19c95ee2c3002363e486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7abed28c,,,,,"{repository={count=19, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":19,""lastUpdated"":""2025-12-04T19:45:17.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":19,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02ve7:,,,,,,,,,,,,,,Wrapping up dashboarding,,,,,,,,Borg,,,,,,,,,,,,,2025-12-02 13:17:37.822,10107_*:*_1_*:*_1565890_*|*_3_*:*_1_*:*_1792_*|*_10400_*:*_1_*:*_3092751596_*|*_10401_*:*_1_*:*_0,,02/Dec/25 2:17 PM;5f0c19c95ee2c3002363e486;[Anton Ovechkin|https://gitlab.com/suse.anton.ovechkin] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9373] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-24026-enable-use-sorted-attributes|https://gitlab.com/stackvista/stackstate/-/tree/STAC-24026-enable-use-sorted-attributes]:{quote}STAC-24026 Enable `useSortedAttributes`{quote},,,,49633,STAC-24016,Migrate from Prettier+ESLint to Biome,Done,07/Jan/26 9:43 AM
Enable organizeImports,STAC-24025,49681,Sub-task,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,02/Dec/25 1:56 PM,07/Jan/26 9:43 AM,,07/Jan/26 9:43 AM,,,,0,,,,,Anton Ovechkin,Release StackState,,,61d2f4ebce3652006aaa23ca,5f0c19c95ee2c3002363e486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@788f7c,,,,,"{repository={count=17, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":17,""lastUpdated"":""2025-12-04T19:45:17.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":17,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vdz:,,,,,,,,,,,,,,Wrapping up dashboarding,,,,,,,,Borg,,,,,,,,,,,,,2025-12-02 13:06:05.709,10107_*:*_1_*:*_2426309_*|*_3_*:*_1_*:*_1620_*|*_10400_*:*_1_*:*_3092755874_*|*_10401_*:*_1_*:*_0,,02/Dec/25 2:06 PM;5f0c19c95ee2c3002363e486;[Anton Ovechkin|https://gitlab.com/suse.anton.ovechkin] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9372] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-24025-enable-organize-imports|https://gitlab.com/stackvista/stackstate/-/tree/STAC-24025-enable-organize-imports]:{quote}STAC-24025 Enable `organizeImports`{quote},,,,49633,STAC-24016,Migrate from Prettier+ESLint to Biome,Done,07/Jan/26 9:43 AM
Replace spaces by tabs,STAC-24024,49679,Sub-task,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,02/Dec/25 9:42 AM,07/Jan/26 9:43 AM,,07/Jan/26 9:43 AM,,,,0,,,,,Anton Ovechkin,Release StackState,,,61d2f4ebce3652006aaa23ca,5f0c19c95ee2c3002363e486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@40b0f5a8,,,,,"{repository={count=13, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":13,""lastUpdated"":""2026-01-06T11:40:13.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":13,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vdr:,,,,,,,,,,,,,,Wrapping up dashboarding,,,,,,,,Borg,,,,,,,,,,,,,2025-12-02 12:54:55.131,10107_*:*_1_*:*_17641662_*|*_3_*:*_1_*:*_2600_*|*_10400_*:*_1_*:*_3092759491_*|*_10401_*:*_1_*:*_0,,02/Dec/25 1:54 PM;5f0c19c95ee2c3002363e486;[Anton Ovechkin|https://gitlab.com/suse.anton.ovechkin] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9371] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-24024-spaces-to-tabs|https://gitlab.com/stackvista/stackstate/-/tree/STAC-24024-spaces-to-tabs]:{quote}STAC-24024 Spaces to tabs{quote},,,,49633,STAC-24016,Migrate from Prettier+ESLint to Biome,Done,07/Jan/26 9:43 AM
Support disabled saved searches,STAC-24023,49645,User Story,In Review,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,High,,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,Bram Schuur,5a3a740aea5fc812d8afd681,01/Dec/25 2:26 PM,07/Jan/26 11:06 AM,,,,,,0,,,"Disabling a saved search lists it in the saved search list but does not execute it. This breaks execution on rabobank, we should not execute disabled saved searches.

* Docs were not conclusive whether this field is included in rest api, we’ll figure it out
* See whether there are other fields returned by splunk that might make us want to not included a search 
* Properly log when we are excluding a search due to it being enabled
* Validate whether we retrieve the list of searches on  every run, to be sure we detect when disabled/enabled toggles.
* Put a release note
* Notify rabobank",,Bram Schuur,,,,5a3a740aea5fc812d8afd681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7a7eb9ea,,,,RaboBank,{},,,,,,,,,,,,,,,,A,1|hzz6qz:009cdsxt2a8y9028zyyxun66btzmn8,,,,,,,,,,https://jira.suse.com/browse/SURE-11000,,,,Marvin - Spacks2 & AgentBump 2,Marvin - AgentBump 3,,,,,,,Marvin,,,5.0,,,,,,,,,,,,,,,,,,,,In Progress,06/Jan/26 10:46 AM
clickhouse restore fails if run in wait mode,STAC-24021,49643,Bug,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Vladimir Iliakov,61b198bc744c4d006987cf03,Vladimir Iliakov,61b198bc744c4d006987cf03,Vladimir Iliakov,61b198bc744c4d006987cf03,01/Dec/25 12:32 PM,19/Dec/25 9:33 AM,,19/Dec/25 9:33 AM,,,,0,,,"clickhouse restore fails with {{error: failed to trigger restore: failed to download backup: fail to get action with operation id: fe4dfe08-cea8-11f0-94d1-56c8e44bd8c8}} , though the following check-and-finalize with the given operation id works as expected.



{noformat}

❯ sts-backup clickhouse restore --namespace stac-23374-nonha --latest
Finding latest backup...
Setting up port-forward to suse-observability-clickhouse-backup:7171 in namespace stac-23374-nonha...
✓ Port-forward established successfully
Using latest backup: incremental_2025-12-01T10-45-04

Warning: WARNING: Restoring from backup will overwrite existing ClickHouse data!
Warning: This operation cannot be undone.

Backup to restore: incremental_2025-12-01T10-45-04
Namespace: stac-23374-nonha

Do you want to continue? (yes/no): yes

Scaling down deployments (selector: observability.suse.com/scalable-during-clickhouse-restore=true)...
✓ Scaled down 0 deployment(s):
✓ Scaled down 1 statefulsets(s):
  - suse-observability-otel-collector (replicas: 1 -> 0)
Waiting for pods to terminate...
✓ All pods have terminated
Setting up port-forward to suse-observability-clickhouse-backup:7171 in namespace stac-23374-nonha...
✓ Port-forward established successfully

Triggering restore for backup: incremental_2025-12-01T10-45-04
error: failed to trigger restore: failed to download backup: fail to get action with operation id: fe4dfe08-cea8-11f0-94d1-56c8e44bd8c8
 ~/Workspace/WIP/STAC-23602/restore ─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────── 38s  12:29:56
❯ sts-backup clickhouse check-and-finalize --namespace stac-23374-nonha --operation-id fe4dfe08-cea8-11f0-94d1-56c8e44bd8c8 --wait
Setting up port-forward to suse-observability-clickhouse-backup:7171 in namespace stac-23374-nonha...
✓ Port-forward established successfully

Checking restore status for operation: fe4dfe08-cea8-11f0-94d1-56c8e44bd8c8
Restore is still in progress (status: &{download incremental_2025-12-01T10-45-04 2025-12-01 11:29:26  in progress  fe4dfe08-cea8-11f0-94d1-56c8e44bd8c8})
Restore is in progress, waiting for completion...

Waiting for restore to complete (this may take significant amount of time depending on the data size)...

You can safely interrupt this command with Ctrl+C.
To check status and finalize later, run:
  sts-backup clickhouse check-and-finalize --operation-id fe4dfe08-cea8-11f0-94d1-56c8e44bd8c8 -n stac-23374-nonha
✓ Restore completed successfully
Executing post-restore SQL commands...
Setting up port-forward to suse-observability-clickhouse-backup:9000 in namespace stac-23374-nonha...
✓ Port-forward established successfully
✓ Post-restore SQL executed successfully

Scaling up deployments from annotations (selector: observability.suse.com/scalable-during-clickhouse-restore=true)...
✓ Scaled up 0 deployment(s) successfully:
✓ Scaled up 1 statefulset(s) successfully:
  - suse-observability-otel-collector (replicas: 0 -> 1)

✓ Restore finalized successfully{noformat}",,Vladimir Iliakov,,,,61b198bc744c4d006987cf03,,,,,,,,,,,,,,,,,STAC-23602,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3ddc477a,,,,,{},,,,,,,,,,,,,,,,A,1|i02vd3:,,,,,,,,,,,,,,Dashboards release?,,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_1467481998_*|*_3_*:*_1_*:*_3422756_*|*_10400_*:*_1_*:*_5287_*|*_10401_*:*_1_*:*_0,,,,,,46449,STAC-23374,Single command restore of backup data,Done,19/Dec/25 9:33 AM
Run Biome in CI,STAC-24019,49639,Sub-task,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,01/Dec/25 9:59 AM,07/Jan/26 9:43 AM,,07/Jan/26 9:43 AM,,,,0,,,"Ensure Biome is configured properly in our CI - it is well documented in [the official website|https://biomejs.dev/recipes/continuous-integration/]

h2. Acceptance criteria

# make sure it reports/fails when
## lint fails
## format fails
## assist fails",,Anton Ovechkin,,,,61d2f4ebce3652006aaa23ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2cc33b96,,,,,{},,,,,,,,,,,,,,,,A,1|i02vcn:,,,,,,,,,,,,,,Wrapping up dashboarding,,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_103031524_*|*_3_*:*_1_*:*_1941_*|*_10400_*:*_1_*:*_3092766197_*|*_10401_*:*_1_*:*_0,,,,,,49633,STAC-24016,Migrate from Prettier+ESLint to Biome,Done,07/Jan/26 9:43 AM
Replace Eslint by Biome linter,STAC-24018,49637,Sub-task,In Progress,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,01/Dec/25 9:55 AM,07/Jan/26 9:33 AM,,,,,,0,,,"The idea is to have ALL Biome .linter.rules groups as {{error}} so and override rules in for the following cases *with a commend* explaining the reason WHY it is adjusted:

# opt-out from rule we do not want to use at all
# explicitly lower severity, handy for autofixable things, or just minor violations that are alright to have around, or as a temporary workaround if it requires refinement and planning for big code changes to satisfy the rule
# custom rule configurations, as for some rules they only work properly when configured

{code:json}{
  ""linter"": {
    ""enabled"": true,
    ""rules"": {
      ""a11y"": ""error"",
      ""complexity"": ""error"",
      ""correctness"": ""error"",
      ""performance"": ""error"",
      ""nursery"": ""error"",
      ""style"": ""error"",
      ""security"": ""error"",
      ""suspicious"": ""error""
    }
  }
}{code}

h2. Acceptance criteria

# All autofixable changes are applied, *DO NOT* edit code manually
# {{biome check}} passes, *DO* add subtasks and lover severity for rules requiring code changes",,Anton Ovechkin,Release StackState,,,61d2f4ebce3652006aaa23ca,5f0c19c95ee2c3002363e486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@23a520fe,,,,,"{pullrequest={dataType=pullrequest, state=OPEN, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2025-12-04T20:23:44.881+0100"",""stateCount"":1,""state"":""OPEN"",""dataType"":""pullrequest"",""open"":true},""byInstanceType"":{""GitLab"":{""count"":1,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vcf:,,,,,,,,,,,,,,Wrapping up dashboarding,,,,,,,,Borg,,,,,,,,,,,,,2025-12-04 19:24:20.935,,,04/Dec/25 8:24 PM;5f0c19c95ee2c3002363e486;[Anton Ovechkin|https://gitlab.com/suse.anton.ovechkin] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9377] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-24018-eslint-to-biome|https://gitlab.com/stackvista/stackstate/-/tree/STAC-24018-eslint-to-biome]:{quote}Draft: STAC-24018 ESLint to Biome{quote},,,,49633,STAC-24016,Migrate from Prettier+ESLint to Biome,In Progress,07/Jan/26 9:33 AM
Replace Prettier by Biome assist+formatter,STAC-24017,49635,Sub-task,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,01/Dec/25 9:52 AM,07/Jan/26 9:43 AM,,07/Jan/26 9:43 AM,,,,0,,,"It is a perfect opportunity to refine formatting rules: trailing comas, semicolons, lineWdith, etc. 

h2. Acceptance criteria

* formatting is applied, no manual changes
* prettier config files are gone
* tabs are TABS (not spaces) so they can be configured individually",,Anton Ovechkin,Release StackState,,,61d2f4ebce3652006aaa23ca,5f0c19c95ee2c3002363e486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2d6b8520,,,,,"{repository={count=29, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":29,""lastUpdated"":""2025-12-04T19:35:51.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":29,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vc7:,,,,,,,,,,,,,,Wrapping up dashboarding,,,,,,,,Borg,,,,,,,,,,,,,2025-12-01 15:02:14.214,10107_*:*_1_*:*_103430383_*|*_3_*:*_1_*:*_2407_*|*_10400_*:*_1_*:*_3092774335_*|*_10401_*:*_1_*:*_0,,01/Dec/25 4:02 PM;5f0c19c95ee2c3002363e486;[Anton Ovechkin|https://gitlab.com/suse.anton.ovechkin] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9367] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-24017-prettier-to-biome|https://gitlab.com/stackvista/stackstate/-/tree/STAC-24017-prettier-to-biome]:{quote}STAC-24017 Replace `Prettier` by `Biome`{quote},02/Dec/25 11:22 AM;5f0c19c95ee2c3002363e486;[Anton Ovechkin|https://gitlab.com/suse.anton.ovechkin] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9369] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-0-brake-format|https://gitlab.com/stackvista/stackstate/-/tree/STAC-0-brake-format]:{quote}Draft: STAC-24017 Introduce formatting issue{quote},,,49633,STAC-24016,Migrate from Prettier+ESLint to Biome,Done,07/Jan/26 9:43 AM
Migrate from Prettier+ESLint to Biome,STAC-24016,49633,Technical Debt,In Progress,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,Anton Ovechkin,61d2f4ebce3652006aaa23ca,01/Dec/25 9:37 AM,07/Jan/26 9:33 AM,,,,,,0,dx,,,,Anton Ovechkin,Release StackState,,,61d2f4ebce3652006aaa23ca,5f0c19c95ee2c3002363e486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7d40e5cd,,,,,"{repository={count=6, dataType=repository}, json={""cachedValue"":{""errors"":[],""summary"":{""repository"":{""overall"":{""count"":6,""lastUpdated"":""2025-12-10T11:45:08.000+0100"",""dataType"":""repository""},""byInstanceType"":{""GitLab"":{""count"":6,""name"":""GitLab""}}}}},""isStale"":true}}",,,,,,,,,,,,,,,,A,1|i02vbz:,,,,,,,,,,,,,,Wrapping up dashboarding,,,,,,,,Borg,,,,,,,,,,,,,2025-12-01 15:16:41.149,,,"01/Dec/25 11:59 AM;61d2f4ebce3652006aaa23ca;Report case 



{noformat}const getComponentForChartType = (type: TimeSeriesChartType) => {
  return {
    line: LineChart,
    bar: BarChart,
  }[type];
};{noformat}

formatted as


{noformat}const getComponentForChartType = (type: TimeSeriesChartType) => {
    line: LineChart,
    bar: BarChart,
  }[type];{noformat}",01/Dec/25 4:16 PM;5f0c19c95ee2c3002363e486;[Anton Ovechkin|https://gitlab.com/suse.anton.ovechkin] mentioned this issue in [a merge request|https://gitlab.com/stackvista/stackstate/-/merge_requests/9368] of [StackVista / stackstate|https://gitlab.com/stackvista/stackstate] on branch [STAC-24016-biome|https://gitlab.com/stackvista/stackstate/-/tree/STAC-24016-biome]:{quote}Draft: STAC-24016 Replace Prettier+ESLint by Biome{quote},,,,,,In Progress,07/Jan/26 9:30 AM
Elasticsearch restore/check-and-finalize do not correctly determine backup restore completion,STAC-24015,49632,Bug,Resolved,STAC,StackState Backlog,software,Mark Bakker,557058:6a6da778-1d40-416c-95b8-2ad35dec7b9d,,,None,Done,Vladimir Iliakov,61b198bc744c4d006987cf03,Vladimir Iliakov,61b198bc744c4d006987cf03,Vladimir Iliakov,61b198bc744c4d006987cf03,01/Dec/25 8:47 AM,22/Dec/25 9:34 AM,,22/Dec/25 9:34 AM,,,,0,,,"The check-and-finalize command introduced asynchronous ES backup restoration and the incorrect completion check, which doesn’t wait for the snapshot to restore and ES to become completely healthy.

AC:

* ES commands correctly determine the status of restore operation.

Possible approaches:

h3. 1. Cluster Health API



The cluster's overall health status reflects the state of the restored indices.

* *During Restore:* The cluster typically switches to a {{yellow}} or {{red}} state because the primary shards of the restored indices are becoming available (recovering) or are temporarily unassigned/unavailable.
* *Restore Finished (Success):* The cluster health will eventually switch back to {{green}} once all primary and replica shards are successfully recovered and allocated.
* *Restore Finished (Failure):* If the cluster remains in a constant {{red}} state after a reasonable time, it indicates a failure that requires investigation.

To check the cluster health, use the following command:

{noformat}Bash{noformat}

{noformat}GET /_cluster/health?v{noformat}



h3. 2. Cat Recovery API



This provides a detailed, real-time, shard-level breakdown of the recovery process, including a progress percentage. This is the most granular way to see the operation's status.

* *Finished Status:* The restore is finished when the {{stage}} for all relevant shards is {{done}} and the {{index.files.percent}} and {{index.bytes.percent}} (or similar fields depending on your version) are {{100.0%}}. You can filter the results for recovery type {{snapshot}}.

Use this command to check recovery status:

{noformat}Bash{noformat}

{noformat}GET /_cat/recovery?v&pretty&human{noformat}",,Vladimir Iliakov,,,,61b198bc744c4d006987cf03,,,,,,,,,,,,,,,,,STAC-23602,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6edb8ea3,,,,,{},,,,,,,,,,,,,,,,A,1|i02vbr:,,,,,,,,,,,,,,Dashboards release?,,,,,,,,Borg,,,,,,,,,,,,,,10107_*:*_1_*:*_1497625465_*|*_3_*:*_2_*:*_57996520_*|*_10400_*:*_2_*:*_261174749_*|*_10401_*:*_2_*:*_404532,,,,,,46449,STAC-23374,Single command restore of backup data,Done,22/Dec/25 9:34 AM
